========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
206      OK       1879.14 ± 0.82 (1877.91-1880.80)     109.6        13094.2       63.6      26.9%
207      OK       1888.10 ± 2.17 (1885.08-1892.96)     109.6        13104.9       63.3      26.9%
208      OK       1896.98 ± 1.96 (1894.42-1900.14)     109.6        13115.5       63.1      26.9%
209      OK       1901.51 ± 3.55 (1898.44-1910.41)     109.9        13133.3       62.8      27.0%
210      OK       1895.12 ± 0.99 (1894.04-1897.52)     110.8        13149.0       62.6      27.0%
211      OK       1896.16 ± 1.31 (1894.15-1899.17)     111.3        13154.1       62.3      27.0%
212      OK       1901.87 ± 0.98 (1900.80-1904.02)     111.5        13166.4       62.1      27.1%
213      OK       1905.10 ± 1.08 (1903.43-1907.29)     111.8        13177.5       61.9      27.1%
214      OK       1912.91 ± 1.25 (1910.75-1915.41)     111.9        13189.5       61.6      27.1%
215      OK       1954.45 ± 2.13 (1951.11-1958.91)     110.0        13202.7       61.4      27.1%
216      OK       1960.25 ± 1.64 (1958.59-1963.62)     110.2        13216.5       61.2      27.2%
217      OK       1968.09 ± 2.69 (1962.59-1973.32)     110.3        13229.1       61.0      27.2%
218      OK       1978.76 ± 1.94 (1975.59-1982.38)     110.2        13249.4       60.8      27.2%
219      OK       1963.82 ± 1.09 (1962.70-1966.58)     111.5        13256.3       60.5      27.2%
220      OK       1970.22 ± 1.15 (1968.79-1973.26)     111.7        13265.8       60.3      27.3%
221      OK       1979.05 ± 1.22 (1977.36-1981.31)     111.7        13275.6       60.1      27.3%
222      OK       1984.13 ± 1.10 (1983.22-1987.09)     111.9        13290.2       59.9      27.3%
223      OK       2032.40 ± 2.17 (2029.52-2036.14)     109.7        13300.3       59.6      27.3%
224      OK       2036.11 ± 1.75 (2032.77-2038.72)     110.0        13315.3       59.4      27.4%
225      OK       2048.02 ± 1.55 (2045.24-2050.85)     109.9        13331.4       59.3      27.4%
226      OK       2051.46 ± 1.97 (2048.85-2055.68)     110.2        13343.2       59.0      27.4%
227      OK       2034.74 ± 0.93 (2033.39-2036.06)     111.6        13362.4       58.9      27.5%
228      OK       2042.52 ± 0.98 (2040.92-2044.83)     111.6        13364.3       58.6      27.5%
229      OK       2049.53 ± 0.97 (2048.61-2052.29)     111.7        13376.0       58.4      27.5%
230      OK       2052.61 ± 1.55 (2051.01-2056.89)     112.1        13388.2       58.2      27.5%
231      OK       2104.23 ± 1.62 (2101.97-2106.48)     109.8        13401.3       58.0      27.5%
232      OK       2112.64 ± 2.73 (2108.52-2117.52)     109.8        13413.8       57.8      27.6%
233      OK       2120.97 ± 2.28 (2118.04-2125.11)     109.9        13426.6       57.6      27.6%
234      OK       2140.27 ± 3.04 (2134.09-2143.81)     109.3        13437.8       57.4      27.6%
235      OK       2104.67 ± 0.99 (2103.04-2106.70)     111.7        13463.2       57.3      27.7%
236      OK       2112.39 ± 1.23 (2110.75-2115.34)     111.7        13463.4       57.0      27.7%
237      OK       2119.79 ± 0.61 (2119.17-2121.31)     111.8        13474.3       56.9      27.7%
238      OK       2131.04 ± 1.34 (2129.51-2134.50)     111.7        13486.1       56.7      27.7%
239      OK       2184.65 ± 0.98 (2183.69-2187.04)     109.4        13499.5       56.5      27.7%
240      OK       2187.08 ± 2.05 (2183.04-2189.65)     109.7        13512.8       56.3      27.8%
241      OK       2193.54 ± 2.47 (2191.19-2198.83)     109.9        13525.1       56.1      27.8%
242      OK       2202.07 ± 2.38 (2198.30-2206.63)     109.9        13536.9       55.9      27.8%
243      OK       2245.97 ± 0.94 (2244.43-2247.42)     108.2        13555.4       55.8      27.9%
244      OK       2233.85 ± 0.98 (2233.05-2236.01)     109.2        13568.4       55.6      27.9%
245      OK       2189.51 ± 1.39 (2187.89-2192.24)     111.9        13572.2       55.4      27.9%
246      OK       2202.86 ± 0.65 (2201.89-2204.22)     111.7        13587.2       55.2      27.9%
247      OK       2208.51 ± 0.94 (2207.07-2210.49)     111.8        13597.5       55.1      27.9%
248      OK       2214.32 ± 1.44 (2212.81-2218.16)     112.0        13610.8       54.9      28.0%
249      OK       2272.52 ± 0.94 (2271.08-2274.79)     109.6        13622.3       54.7      28.0%
250      OK       2278.18 ± 3.52 (2272.20-2286.74)     109.7        13636.8       54.5      28.0%
251      OK       2334.68 ± 2.29 (2331.07-2338.10)     107.5        13651.0       54.4      28.0%
