========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
276      OK       135.55 ± 5.55 (126.03-147.27)    2036.1         1744.8        6.3       3.6%
277      OK       136.56 ± 6.17 (129.00-151.21)    2028.5         1751.6        6.3       3.6%
278      OK       136.04 ± 7.25 (127.74-150.22)    2043.5         1757.3        6.3       3.6%
279      OK       136.91 ± 5.44 (127.89-147.32)    2037.9         1763.3        6.3       3.6%
280      OK       136.78 ± 5.31 (127.52-148.33)    2047.0         1769.3        6.3       3.6%
281      OK       136.77 ± 7.07 (127.69-149.54)    2054.6         1775.6        6.3       3.6%
282      OK       137.64 ± 5.32 (129.60-149.70)    2048.8         1780.9        6.3       3.7%
283      OK       138.24 ± 5.57 (131.20-152.20)    2047.1         1786.9        6.3       3.7%
284      OK       138.93 ± 7.25 (129.66-153.33)    2044.2         1793.1        6.3       3.7%
285      OK       138.12 ± 7.11 (129.39-150.70)    2063.4         1798.5        6.3       3.7%
286      OK       138.85 ± 5.55 (131.02-151.38)    2059.8         1804.1        6.3       3.7%
287      OK       139.57 ± 6.24 (130.85-149.97)    2056.3         1811.3        6.3       3.7%
288      OK       139.80 ± 3.83 (135.58-147.81)    2060.1         1818.1        6.3       3.7%
289      OK       141.59 ± 4.88 (133.81-150.46)    2041.1         1822.1        6.3       3.7%
290      OK       141.31 ± 2.86 (137.15-146.87)    2052.2         1827.8        6.3       3.8%
291      OK       141.82 ± 3.05 (138.89-148.19)    2051.8         1835.0        6.3       3.8%
292      OK       143.27 ± 7.01 (133.28-153.94)    2038.1         1840.9        6.3       3.8%
293      OK       142.87 ± 6.22 (134.53-154.07)    2050.8         1845.6        6.3       3.8%
294      OK       143.10 ± 3.91 (136.57-149.61)    2054.6         1852.3        6.3       3.8%
295      OK       144.31 ± 5.46 (135.91-157.84)    2044.1         1858.8        6.3       3.8%
296      OK       144.23 ± 6.66 (136.13-156.37)    2052.3         1864.3        6.3       3.8%
297      OK       145.12 ± 5.37 (136.89-153.21)    2046.6         1869.3        6.3       3.8%
298      OK       144.43 ± 7.44 (136.14-158.97)    2063.3         1876.2        6.3       3.9%
299      OK       142.97 ± 5.46 (135.70-157.21)    2091.3         1881.7        6.3       3.9%
