========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
229      OK       232.39 ± 0.96 (231.54-234.45)     985.4         2797.5       12.2       5.7%
230      OK       233.26 ± 0.79 (232.42-234.84)     986.0         2809.3       12.2       5.8%
231      OK       234.60 ± 0.56 (234.08-235.72)     984.7         2822.1       12.2       5.8%
232      OK       232.25 ± 0.60 (231.52-233.15)     998.9         2835.5       12.2       5.8%
233      OK       236.12 ± 1.00 (235.18-238.54)     986.8         2846.4       12.2       5.8%
234      OK       237.17 ± 0.81 (236.22-238.51)     986.7         2857.8       12.2       5.9%
235      OK       238.65 ± 0.61 (238.17-239.93)     984.7         2870.4       12.2       5.9%
236      OK       236.25 ± 0.86 (235.42-238.19)     999.0         2881.1       12.2       5.9%
237      OK       239.97 ± 0.63 (239.29-241.17)     987.6         2892.3       12.2       5.9%
238      OK       241.03 ± 0.64 (240.28-242.25)     987.4         2905.7       12.2       6.0%
239      OK       242.05 ± 0.70 (241.21-243.20)     987.4         2916.5       12.2       6.0%
240      OK       240.25 ± 1.40 (238.96-243.08)     999.0         2928.4       12.2       6.0%
241      OK       244.51 ± 0.65 (243.88-245.76)     985.6         2940.3       12.2       6.0%
242      OK       245.24 ± 0.57 (244.44-246.46)     986.8         2952.0       12.2       6.1%
243      OK       246.59 ± 0.60 (245.98-247.64)     985.4         2964.3       12.2       6.1%
244      OK       243.93 ± 0.64 (243.16-245.27)    1000.3         2976.4       12.2       6.1%
245      OK       248.02 ± 1.11 (246.96-250.84)     987.8         2987.5       12.2       6.1%
246      OK       249.08 ± 0.91 (248.22-251.26)     987.6         2999.2       12.2       6.2%
247      OK       249.78 ± 0.67 (249.06-251.05)     988.9         3010.5       12.2       6.2%
248      OK       247.93 ± 0.91 (247.19-250.50)    1000.3         3023.7       12.2       6.2%
249      OK       251.78 ± 0.69 (251.04-253.15)     989.0         3033.7       12.2       6.2%
250      OK       253.61 ± 0.61 (252.81-254.75)     985.8         3046.2       12.2       6.3%
251      OK       253.69 ± 0.69 (253.04-255.17)     989.4         3060.5       12.2       6.3%
252      OK       251.90 ± 1.47 (250.73-254.83)    1000.4         3071.3       12.2       6.3%
253      OK       255.98 ± 0.63 (255.16-257.16)     988.3         3082.0       12.2       6.3%
254      OK       257.37 ± 0.48 (256.99-258.50)     986.9         3094.4       12.2       6.4%
255      OK       257.74 ± 0.67 (257.15-259.42)     989.4         3105.3       12.2       6.4%
256      OK       256.13 ± 0.49 (255.47-257.33)     999.5         3116.4       12.2       6.4%
257      OK       260.21 ± 0.84 (259.45-262.14)     987.7         3129.8       12.2       6.4%
258      OK       261.06 ± 0.54 (260.48-262.25)     988.3         3140.8       12.2       6.5%
259      OK       262.34 ± 0.98 (261.64-265.12)     987.3         3152.8       12.2       6.5%
260      OK       259.59 ± 0.57 (259.01-260.76)    1001.6         3165.6       12.2       6.5%
261      OK       263.78 ± 0.82 (262.98-265.94)     989.5         3176.2       12.2       6.5%
262      OK       265.54 ± 0.53 (264.90-266.95)     986.7         3188.6       12.2       6.6%
